,brand,categories,colors,name,sizes,prices
7046,SoftWalk,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Dark Grey Tumbled Leather/Cow Suede,"softwalk women's imlay boot, dark grey, 11 n us",10,89.99
7047,Lamo,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black,Women's Piper Slip On Sneaker,6,32.95
7048,Drew,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Bone Smooth Leather,Women's Drew Angela,12,125.6
7049,SoftWalk,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Dark Brown Tumbled Leather/Cow Suede,"softwalk women's imlay boot, dark grey, 11 n us",8,79.95
7050,Drew,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Pewter Leather,Women's Drew Ariana Slide,10,139.95
7051,Dr. Comfort,Sandals,Light Blue,Women's Dr. Comfort Ortho Sandals,6,59.99
7052,Drew,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Pewter Leather,Women's Drew Ariana Slide,10,82.65
7053,Lamo,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black Snake,Women's Piper Slip On Sneaker,11,32.95
7054,Lamo,"Clothing,Shoes,Womens Shoes,All Womens Shoes",White Snake,Women's Piper Slip On Sneaker,11,32.95
7055,Drew,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Dusty Multi Metallic,Women's Drew Angela,10,125.6
7056,Lamo,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black Snake,Women's Piper Slip On Sneaker,6,32.95
7057,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Red Glitter Synthetic,Women's Pleaser Sabrina 07 Mary Jane,8,37.94
7058,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Red Glitter Synthetic,Women's Pleaser Sabrina 07 Mary Jane,11,37.94
7059,Lamo,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black,Women's Piper Slip On Sneaker,10,32.95
7060,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Red Glitter,Women's Pleaser Sabrina 07 Mary Jane,9,37.94
7061,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Rose Gold Glitter Synthetic,Women's Pleaser Sabrina 07 Mary Jane,7,37.94
7062,Drew,"Womens Shoes,Clothing,All Womens Shoes,Shoes",Black Smooth Leather,Women's Drew Angela,7,125.6
7063,Lamo,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black,Women's Piper Slip On Sneaker,11,32.95
7064,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Rose Gold Glitter,Women's Pleaser Sabrina 07 Mary Jane,11,37.94
7065,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Silver Glitter Synthetic,Women's Pleaser Sabrina 07 Mary Jane,9,37.94
7066,Lamo,"Clothing,Shoes,Womens Shoes,All Womens Shoes",White Snake,Women's Piper Slip On Sneaker,7,32.95
7067,Lamo,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black,Women's Piper Slip On Sneaker,9,32.95
7068,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Red Glitter,Women's Pleaser Sabrina 07 Mary Jane,12,37.94
7069,Lamo,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black Snake,Women's Piper Slip On Sneaker,9,32.95
7070,Pleaser,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Rose Gold Glitter Synthetic,Women's Pleaser Sabrina 07 Mary Jane,12,37.94
7071,Lamo,"Clothing,Shoes,Womens Shoes,All Womens Shoes",Black,Women's Piper Slip On Sneaker,6,32.95
7072,Floral,Sandals,Gold,FLORAL Chrissy Women's Wide Width OpenToe and Rhinestone Strips Slip-On Sandal GOLD 11,10,44.95
7073,Soda,"Womens Shoes,Clothing,All Womens Shoes,Shoes",orange,"Soda Women's Alison Snakeskin T-Strap Chain Ring Ankle Strap , Orange, 65 M US (6 M, orange)",8,21.99
7074,Soda,"Womens Shoes,Clothing,All Womens Shoes,Shoes",orange,"Soda Women's Alison Snakeskin T-Strap Chain Ring Ankle Strap , Orange, 65 M US (6 M, orange)",6,21.99
